timestamp,configuration_id,run_id,ablation_mode,p,gamma,tau_e,delay_s,packet_loss,sensor_noise,pose_rmse,map_alignment_rmse,fusion_time_ms,theta_mean,theta_std,false_constraint_acceptance_rate,map_consistency_score,accepted_constraints,success
20260604_105425,baseline_graph_slam_p2_gamma0p1_delay0_loss0_noise0p1,1,baseline_graph_slam,2.0,0.1,0.5,0.0,0.0,0.1,0.33817405199582856,0.1910198295563759,5.870053735882001,0.9176974616273925,0.0363932967008543,0.021727870130368376,0.803548202911032,149,1
20260604_105425,baseline_graph_slam_p2_gamma0p1_delay0_loss0_noise0p1,2,baseline_graph_slam,2.0,0.1,0.5,0.0,0.0,0.1,0.3451506872115271,0.19075950268596842,6.1444363176934615,0.9124143997234915,0.04502469018218407,0.023122598472998253,0.803459847695782,149,1
20260604_105425,baseline_graph_slam_p2_gamma0p1_delay0_loss0_noise0p1,3,baseline_graph_slam,2.0,0.1,0.5,0.0,0.0,0.1,0.3441579112601407,0.19254820304568837,5.73866840716243,0.9155190379972221,0.038827557902168325,0.02230297396873336,0.8018760534621282,152,1
20260604_105425,baseline_graph_slam_p2_gamma0p1_delay0_loss0_noise0p1,4,baseline_graph_slam,2.0,0.1,0.5,0.0,0.0,0.1,0.3512337197432427,0.19752761013180903,6.194003282681,0.9074746734211628,0.04662748798345854,0.024426686216813015,0.7963657183139876,142,1
20260604_105425,baseline_graph_slam_p2_gamma0p1_delay0_loss0_noise0p1,5,baseline_graph_slam,2.0,0.1,0.5,0.0,0.0,0.1,0.3554486471690976,0.19462861155419622,5.852382281944619,0.9117724230625298,0.03676587632232227,0.02329208031149213,0.7995483683679308,149,1
20260604_105425,baseline_graph_slam_p2_gamma0p1_delay0_loss0_noise0p2,1,baseline_graph_slam,2.0,0.1,0.5,0.0,0.0,0.2,0.3787460005010007,0.21377508119603744,6.196417432306205,0.8585756605390296,0.05647871042720629,0.04073020976475948,0.7760423663627727,139,1
20260604_105425,baseline_graph_slam_p2_gamma0p1_delay0_loss0_noise0p2,2,baseline_graph_slam,2.0,0.1,0.5,0.0,0.0,0.2,0.37803589920243763,0.21632543497924944,6.464611879291021,0.8456976200511047,0.05848249736898121,0.04443908542528184,0.7725647936644302,134,1
20260604_105425,baseline_graph_slam_p2_gamma0p1_delay0_loss0_noise0p2,3,baseline_graph_slam,2.0,0.1,0.5,0.0,0.0,0.2,0.3740093770719976,0.20650713572805557,5.950918202284085,0.8527048475379055,0.06704930957188644,0.0424210039090832,0.7828876132946736,143,1
20260604_105425,baseline_graph_slam_p2_gamma0p1_delay0_loss0_noise0p2,4,baseline_graph_slam,2.0,0.1,0.5,0.0,0.0,0.2,0.37183673711075516,0.20528332831684865,5.642495572464702,0.8527208700612113,0.061879646052163846,0.04241638942237113,0.7841125743275585,143,1
20260604_105425,baseline_graph_slam_p2_gamma0p1_delay0_loss0_noise0p2,5,baseline_graph_slam,2.0,0.1,0.5,0.0,0.0,0.2,0.3796038596370232,0.20777784909607228,5.116130993944521,0.8426150279124981,0.07048046057699617,0.04532687196120055,0.7808904329136277,145,1
20260604_105425,baseline_graph_slam_p2_gamma0p1_delay0_loss0_noise0p3,1,baseline_graph_slam,2.0,0.1,0.5,0.0,0.0,0.3,0.4107803524628977,0.23447048673876167,6.072942135353643,0.7667321320169493,0.06581916215074671,0.0727795748107118,0.7473346195585604,128,1
20260604_105425,baseline_graph_slam_p2_gamma0p1_delay0_loss0_noise0p3,2,baseline_graph_slam,2.0,0.1,0.5,0.0,0.0,0.3,0.4110753058695995,0.23308903396865438,6.592391905939951,0.7968942450641643,0.07030910891714222,0.06336899553998074,0.7510687171463504,133,1
20260604_105425,baseline_graph_slam_p2_gamma0p1_delay0_loss0_noise0p3,3,baseline_graph_slam,2.0,0.1,0.5,0.0,0.0,0.3,0.4207989729730983,0.24186672048045954,6.201923868869699,0.7797339320676587,0.0712459650939935,0.06872301319489048,0.7409525262208179,131,1
20260604_105425,baseline_graph_slam_p2_gamma0p1_delay0_loss0_noise0p3,4,baseline_graph_slam,2.0,0.1,0.5,0.0,0.0,0.3,0.4008970794532059,0.22312467932571994,5.886730630245941,0.7786458045060789,0.07343502087335627,0.06906250899410339,0.7596096934257541,125,1
20260604_105425,baseline_graph_slam_p2_gamma0p1_delay0_loss0_noise0p3,5,baseline_graph_slam,2.0,0.1,0.5,0.0,0.0,0.3,0.40201712185714866,0.23526241349733126,5.552171084245172,0.7899847041216185,0.08128729510941406,0.06552477231405504,0.748356393424155,137,1
20260604_105425,baseline_graph_slam_p2_gamma0p1_delay0_loss0p1_noise0p1,1,baseline_graph_slam,2.0,0.1,0.5,0.0,0.1,0.1,0.3760250739279028,0.21438559805426066,5.755156071078456,0.8999246886554392,0.05168029884177481,0.026419882194964057,0.7790094313969984,132,1
20260604_105425,baseline_graph_slam_p2_gamma0p1_delay0_loss0p1_noise0p1,2,baseline_graph_slam,2.0,0.1,0.5,0.0,0.1,0.1,0.36740802904676045,0.20440861010810243,5.927413035451139,0.8885174009030794,0.050304762723614664,0.02943140616158704,0.7882335383515008,134,1
20260604_105425,baseline_graph_slam_p2_gamma0p1_delay0_loss0p1_noise0p1,3,baseline_graph_slam,2.0,0.1,0.5,0.0,0.1,0.1,0.37130793259580497,0.20659962551821026,6.733822064851043,0.8961296843439664,0.04740786938438767,0.02742176333319286,0.7865449336484914,137,1
20260604_105425,baseline_graph_slam_p2_gamma0p1_delay0_loss0p1_noise0p1,4,baseline_graph_slam,2.0,0.1,0.5,0.0,0.1,0.1,0.36634974999059744,0.20240894002860624,6.277054676970735,0.894221281232291,0.046589293124094565,0.027925581754675164,0.790609664532725,131,1
20260604_105425,baseline_graph_slam_p2_gamma0p1_delay0_loss0p1_noise0p1,5,baseline_graph_slam,2.0,0.1,0.5,0.0,0.1,0.1,0.3586232523269721,0.20090089962782154,5.9456052689245995,0.8996754206584461,0.04816513158977137,0.026485688946170236,0.7924776781356359,140,1
20260604_105425,baseline_graph_slam_p2_gamma0p1_delay0_loss0p1_noise0p2,1,baseline_graph_slam,2.0,0.1,0.5,0.0,0.1,0.2,0.40352024977557055,0.22637258703469892,6.58399669545972,0.8448063154878923,0.05783025901168496,0.04469578113948701,0.7624534676804294,127,1
20260604_105425,baseline_graph_slam_p2_gamma0p1_delay0_loss0p1_noise0p2,2,baseline_graph_slam,2.0,0.1,0.5,0.0,0.1,0.2,0.3961243878481263,0.22070943278909713,5.723717690257478,0.8316413726537968,0.057605750983621126,0.048487284675706524,0.7671687460419762,120,1
20260604_105425,baseline_graph_slam_p2_gamma0p1_delay0_loss0p1_noise0p2,3,baseline_graph_slam,2.0,0.1,0.5,0.0,0.1,0.2,0.397950317151442,0.2223232458518711,6.448812497624861,0.8557969770225452,0.05288423328913941,0.041530470617506976,0.7672941364937521,128,1
20260604_105425,baseline_graph_slam_p2_gamma0p1_delay0_loss0p1_noise0p2,4,baseline_graph_slam,2.0,0.1,0.5,0.0,0.1,0.2,0.39496855844382855,0.22085235129525466,6.553360392304339,0.8461446249493361,0.05495554440810907,0.04431034801459121,0.7680700617010975,126,1
20260604_105425,baseline_graph_slam_p2_gamma0p1_delay0_loss0p1_noise0p2,5,baseline_graph_slam,2.0,0.1,0.5,0.0,0.1,0.2,0.3909293401456589,0.2156306147886553,6.1639554822808424,0.8392406012658529,0.04634033450261493,0.046298706835434376,0.7727947085024861,127,1
20260604_105425,baseline_graph_slam_p2_gamma0p1_delay0_loss0p1_noise0p3,1,baseline_graph_slam,2.0,0.1,0.5,0.0,0.1,0.3,0.425784432377528,0.2463791739734115,6.09076136285953,0.7624864849256044,0.07570593913973976,0.0741042167032114,0.7350947718507856,112,1
20260604_105425,baseline_graph_slam_p2_gamma0p1_delay0_loss0p1_noise0p3,2,baseline_graph_slam,2.0,0.1,0.5,0.0,0.1,0.3,0.4236397254883745,0.23954589357250314,6.56243268933127,0.7919730397496065,0.06190768985738051,0.06490441159812275,0.7442280035279663,118,1
20260604_105425,baseline_graph_slam_p2_gamma0p1_delay0_loss0p1_noise0p3,3,baseline_graph_slam,2.0,0.1,0.5,0.0,0.1,0.3,0.42400565361185,0.2439493194551853,6.017179036125529,0.7844973467747947,0.08344265461124546,0.06723682780626407,0.7392414735932487,118,1
20260604_105425,baseline_graph_slam_p2_gamma0p1_delay0_loss0p1_noise0p3,4,baseline_graph_slam,2.0,0.1,0.5,0.0,0.1,0.3,0.42466597110509513,0.24702177286387542,5.990356214211571,0.7689494953888415,0.08204993559999695,0.07208775743868145,0.7349562877764543,115,1
20260604_105425,baseline_graph_slam_p2_gamma0p1_delay0_loss0p1_noise0p3,5,baseline_graph_slam,2.0,0.1,0.5,0.0,0.1,0.3,0.43206402304398844,0.24673634174328885,5.832569628062159,0.7646315875172625,0.07451950320816901,0.0734349446946141,0.7349049220830576,115,1
