timestamp,time,theta,delay,packet_loss,robot_id
1760000000.0,0.0,0.729036,0.35,0.1,robot_1
1760000000.25,0.25,0.71851,0.372441,0.1,robot_2
1760000000.5,0.5,0.70832,0.394533,0.1,robot_3
1760000000.75,0.75,0.698762,0.415929,0.1,robot_1
1760000001.0,1.0,0.690111,0.436297,0.1,robot_2
1760000001.25,1.25,0.682608,0.455318,0.1,robot_3
1760000001.5,1.5,0.676455,0.472695,0.1,robot_1
1760000001.75,1.75,0.671809,0.488158,0.1,robot_2
1760000002.0,2.0,0.668777,0.501465,0.1,robot_3
1760000002.25,2.25,0.667411,0.512408,0.1,robot_1
1760000002.5,2.5,0.667709,0.520817,0.1,robot_2
1760000002.75,2.75,0.669617,0.526561,0.1,robot_3
1760000003.0,3.0,0.673027,0.529549,0.1,robot_1
1760000003.25,3.25,0.67779,0.529736,0.1,robot_2
1760000003.5,3.5,0.683714,0.527117,0.1,robot_3
1760000003.75,3.75,0.690576,0.521735,0.1,robot_1
1760000004.0,4.0,0.698131,0.513674,0.1,robot_2
1760000004.25,4.25,0.706119,0.503058,0.1,robot_3
1760000004.5,4.5,0.714276,0.490053,0.1,robot_1
1760000004.75,4.75,0.722344,0.474863,0.1,robot_2
1760000005.0,5.0,0.730079,0.457725,0.1,robot_3
1760000005.25,5.25,0.737259,0.438906,0.1,robot_1
1760000005.5,5.5,0.743695,0.418699,0.1,robot_2
1760000005.75,5.75,0.749231,0.39742,0.1,robot_3
1760000006.0,6.0,0.753754,0.375402,0.1,robot_1
1760000006.25,6.25,0.757195,0.352987,0.1,robot_2
1760000006.5,6.5,0.759526,0.330525,0.1,robot_3
1760000006.75,6.75,0.760768,0.308367,0.1,robot_1
1760000007.0,7.0,0.760978,0.286859,0.1,robot_2
1760000007.25,7.25,0.760254,0.266336,0.1,robot_3
1760000007.5,7.5,0.758725,0.247119,0.1,robot_1
1760000007.75,7.75,0.756545,0.229507,0.1,robot_2
1760000008.0,8.0,0.696774,0.493776,0.1,robot_3
1760000008.25,8.25,0.693597,0.48017,0.1,robot_1
1760000008.5,8.5,0.690341,0.468902,0.1,robot_2
1760000008.75,8.75,0.687185,0.460148,0.1,robot_3
1760000009.0,9.0,0.684294,0.454045,0.1,robot_1
1760000009.25,9.25,0.681809,0.450687,0.1,robot_2
1760000009.5,9.5,0.679844,0.450127,0.1,robot_3
1760000009.75,9.75,0.678479,0.452375,0.1,robot_1
1760000010.0,10.0,0.67776,0.457394,0.1,robot_2
1760000010.25,10.25,0.677692,0.465106,0.1,robot_3
1760000010.5,10.5,0.678246,0.475392,0.1,robot_1
1760000010.75,10.75,0.679354,0.48809,0.1,robot_2
1760000011.0,11.0,0.680916,0.503003,0.1,robot_3
1760000011.25,11.25,0.739498,0.239897,0.1,robot_1
1760000011.5,11.5,0.741267,0.25851,0.1,robot_2
1760000011.75,11.75,0.743025,0.27855,0.1,robot_3
1760000012.0,12.0,0.744606,0.299705,0.1,robot_1
1760000012.25,12.25,0.745842,0.321645,0.1,robot_2
1760000012.5,12.5,0.695811,0.344028,0.2,robot_3
1760000012.75,12.75,0.696224,0.366503,0.2,robot_1
1760000013.0,13.0,0.695874,0.388722,0.2,robot_2
1760000013.25,13.25,0.694674,0.410336,0.2,robot_3
1760000013.5,13.5,0.692569,0.431008,0.2,robot_1
1760000013.75,13.75,0.689547,0.450416,0.2,robot_2
1760000014.0,14.0,0.685636,0.468258,0.2,robot_3
1760000014.25,14.25,0.680908,0.484254,0.2,robot_1
1760000014.5,14.5,0.675475,0.498155,0.2,robot_2
1760000014.75,14.75,0.669487,0.509744,0.2,robot_3
1760000015.0,15.0,0.663129,0.51884,0.2,robot_1
1760000015.25,15.25,0.656609,0.525302,0.2,robot_2
1760000015.5,15.5,0.650157,0.529028,0.2,robot_3
1760000015.75,15.75,0.644011,0.52996,0.2,robot_1
1760000016.0,16.0,0.638414,0.528084,0.2,robot_2
1760000016.25,16.25,0.633596,0.52343,0.2,robot_3
1760000016.5,16.5,0.629772,0.516069,0.2,robot_1
1760000016.75,16.75,0.62713,0.506116,0.2,robot_2
1760000017.0,17.0,0.625822,0.493728,0.2,robot_3
1760000017.25,17.25,0.625961,0.479096,0.2,robot_1
1760000017.5,17.5,0.627611,0.46245,0.2,robot_2
1760000017.75,17.75,0.630783,0.44405,0.2,robot_3
1760000018.0,18.0,0.63544,0.424181,0.2,robot_1
1760000018.25,18.25,0.641489,0.403155,0.2,robot_2
1760000018.5,18.5,0.648788,0.3813,0.2,robot_3
1760000018.75,18.75,0.657147,0.358956,0.2,robot_1
1760000019.0,19.0,0.666337,0.336473,0.2,robot_2
1760000019.25,19.25,0.676095,0.3142,0.2,robot_3
1760000019.5,19.5,0.686135,0.292487,0.2,robot_1
1760000019.75,19.75,0.696154,0.27167,0.2,robot_2
